Id,FullName,Address,Username,Password,Role
1,Nguyen Van A,Hanoi,nguyenvana,123456,Admin
2,Tran Thi B,HCMC,tranthib,abcdef,Student
3,lan hương,huttt hu,hnama  jj,369,Admin
4,huy,haha,huy nam,123,Student
5,hoài minh,huttt hu,iii,369,Admin
6,mã tiến amn,cao bằng,cao lãnh,789,Teacher
7,bắc kanj,tù và,tu va,357,Teacher
8,ba lan,ba tay,ba la,159,Student
9,jack,hi no,virus,852,Admin
10,lazy,boy,lazyboy,123123,Teacher
11,mamaboy,no hope,maby,may111,Student
12,húp,cương ku,có lẽ,le333,Admin
13,nam hạt kloef, hạ quất,haquat,001122,Teacher
14,thucdeptrai,trai,tu vat,778899,Student
15,cuomng nay,cuong,hyhu,445566,Admin
16,nam hải đường,hai,namhair,147147,Admin
17,cường,gà,cuongga,258258,Student
18,tuổi trẻ,tài lanh,nhalam,369369,Teacher
